fold,horizon,seed,model,ablation_mode,feature_group,baseline_accuracy,accuracy,delta_accuracy,baseline_macro_f1,macro_f1,delta_macro_f1,baseline_mcc,mcc,delta_mcc,baseline_ece,ece,delta_ece,interpretation
fold_1,10,0,logistic,all_features,all,0.6322368935073053,0.6322368935073053,0.0,0.4047283174464407,0.4047283174464407,0.0,0.2464918021031744,0.2464918021031744,0.0,0.02815397537260498,0.02815397537260498,0.0,neutral
fold_1,10,0,logistic,remove_one_group,price_levels,0.6322368935073053,0.6329140297419069,0.0006771362346016385,0.4047283174464407,0.40340646518357187,-0.00132185226286885,0.2464918021031744,0.24932289860060536,0.0028310964974309627,0.02815397537260498,0.03083583597079406,0.0026818605981890793,neutral
fold_1,10,0,logistic,remove_one_group,size_levels,0.6322368935073053,0.6303877907128161,-0.0018491027944891325,0.4047283174464407,0.40253328290189466,-0.0021950345445460595,0.2464918021031744,0.2401274224431615,-0.006364379660012909,0.02815397537260498,0.02678471050901042,-0.001369264863594559,hurt
fold_1,10,0,logistic,remove_one_group,top_of_book,0.6322368935073053,0.6317681068833503,-0.0004687866239549976,0.4047283174464407,0.4040915679448491,-0.0006367495015916491,0.2464918021031744,0.2448729789406885,-0.001618823162485905,0.02815397537260498,0.02741648504106036,-0.0007374903315446185,neutral
fold_1,10,0,logistic,remove_one_group,spread,0.6322368935073053,0.6285907753209886,-0.0036461181863166603,0.4047283174464407,0.3850413755620135,-0.01968694188442721,0.2464918021031744,0.23770432628223054,-0.008787475820943857,0.02815397537260498,0.03199038827574147,0.0038364129031364935,hurt
fold_1,10,0,logistic,remove_one_group,midprice,0.6322368935073053,0.6321066750006511,-0.00013021850665417833,0.4047283174464407,0.4046197433799095,-0.00010857406653119739,0.2464918021031744,0.24605522907779215,-0.0004365730253822475,0.02815397537260498,0.028180276882321553,2.6301509716573912e-05,neutral
fold_1,10,0,logistic,remove_one_group,microprice,0.6322368935073053,0.6318462379873427,-0.000390655519962535,0.4047283174464407,0.4046619519374593,-6.636550898142524e-05,0.2464918021031744,0.24509499143004404,-0.0013968106731303553,0.02815397537260498,0.02743275524864773,-0.0007212201239572488,neutral
fold_1,10,0,logistic,remove_one_group,top_of_book_imbalance,0.6322368935073053,0.6320285438966586,-0.00020834961064664093,0.4047283174464407,0.4048148848782098,8.656743176910231e-05,0.2464918021031744,0.24573123433118077,-0.0007605677719936255,0.02815397537260498,0.02823405322412636,8.007785152137903e-05,neutral
fold_1,10,0,logistic,remove_one_group,depth_imbalance,0.6322368935073053,0.6323410683126286,0.00010417480532332046,0.4047283174464407,0.40533771637291416,0.0006093989264734367,0.2464918021031744,0.24678646388390918,0.000294661780734784,0.02815397537260498,0.028619139681930826,0.00046516430932584674,neutral
fold_1,10,0,logistic,remove_one_group,depth_slope,0.6322368935073053,0.6317681068833503,-0.0004687866239549976,0.4047283174464407,0.40413523071585705,-0.0005930867305836696,0.2464918021031744,0.24485908645878182,-0.0016327156443925739,0.02815397537260498,0.02783105484398245,-0.00032292052862252854,neutral
fold_1,10,0,logistic,remove_one_group,liquidity_concentration,0.6322368935073053,0.6320285438966586,-0.00020834961064664093,0.4047283174464407,0.4050235178236808,0.000295200377240068,0.2464918021031744,0.24571703619787447,-0.000774765905299929,0.02815397537260498,0.028060028408231043,-9.394696437393588e-05,neutral
fold_1,10,0,logistic,remove_one_group,snapshot_order_flow_proxy,0.6322368935073053,0.5917389379378597,-0.040497955569445576,0.4047283174464407,0.2727024696258821,-0.1320258478205586,0.2464918021031744,0.05855157475684144,-0.18794022734633295,0.02815397537260498,0.019064080898083115,-0.009089894474521864,hurt
