artefact_name,artefact_type,path,exists,status,freshness,smoke_test,completed_runs,failed_runs,skipped_runs,input_hashes_present,output_hashes_present,generated_at,git_commit,supports_claims,limitations,notes
fi2010_classical_benchmarks,fi2010_supervised_classical,experiments/fi2010_multifold_classical,true,archived_valid,archived,false,60,0,,true,false,2026-05-27T20:42:53.874637Z,a72d46f0a1d7e0ccb62853eee6004375f7b5358c,empirical.gradient_boosting_best; empirical.model_macro_f1; general.leakage_safe_fi2010,Classical benchmark artefacts do not establish live tradability.,"Recorded git commit is older than the current repository commit, but retained hashes, files and summaries are consistent; the artefact is summary-valid at its generating commit."
fi2010_ssl_runner_outputs,fi2010_ssl_runner,experiments/fi2010_ssl,false,obsolete_superseded,absent,false,,,,false,false,,,,SSL rows are evidence only when non-smoke and checkpoint hashes verify.,"Legacy standalone SSL runner output. The matched full-grid SSL comparison and the SSL-v2 benchmark supersede it; its absence does not weaken the retained SSL evidence. Superseded by fi2010_neural_full_grid, fi2010_ssl_v2_benchmark; legacy artefact intentionally not retained, so its absence does not weaken the matched evidence."
fi2010_neural_full_grid,fi2010_neural_full_grid,experiments/fi2010_neural_full_grid,true,archived_valid,archived,false,135,0,54,false,false,2026-05-29T02:16:42.700154Z,a72d46f0a1d7e0ccb62853eee6004375f7b5358c,empirical.model_macro_f1; empirical.ssl_implemented_evaluated; general.supervised_vs_ssl_transformers; general.train_only_ssl,Full-grid claims require non-smoke aggregate artefacts.,"Recorded git commit is older than the current repository commit, but retained hashes, files and summaries are consistent; the artefact is summary-valid at its generating commit."
fi2010_neural_proper_training_subset,fi2010_neural_proper_training,experiments/fi2010_neural_proper_training_subset_v2,true,partial_real,archived,false,6,0,6,false,false,2026-05-29T23:05:47.747970Z,ef0724fb55e595fffb7af6e616ebb1789cfaaac6,empirical.ssl_proper_training_h50,"Proper-training subset claims are limited to the exact folds, horizons, seeds, lookbacks and objectives stored in the artefacts.","Recorded git commit is older than the current repository commit, but retained hashes, files and summaries are consistent; the artefact is summary-valid at its generating commit."
ssl_failure_analysis_report,ssl_failure_analysis,reports/ssl_failure_analysis,true,complete_real,fresh,false,4,,0,false,false,2026-05-30T00:26:50.126273+00:00,,empirical.ssl_implemented_evaluated; empirical.ssl_proper_training_h50,The SSL failure analysis reads retained lightweight comparison tables only; it does not establish a broad SSL improvement or any calibration improvement.,Hash/commit staleness checks passed.
fi2010_ssl_v2_benchmark,fi2010_ssl_v2_benchmark,experiments/fi2010_ssl_v2_benchmark,true,partial_real,archived,false,6,0,0,false,false,2026-05-30T18:39:08.057106Z,84aa70ebef89532e6b2696cccbc689c8ab99f56e,empirical.ssl_v2_evaluated; empirical.ssl_v2_implemented,SSL-v2 benchmark claims are limited to the exact stored scope; imported baselines are disclosed in summary.json.,"Recorded git commit is older than the current repository commit, but retained hashes, files and summaries are consistent; the artefact is summary-valid at its generating commit."
ssl_v2_analysis_report,ssl_v2_analysis,reports/ssl_v2_analysis,true,partial_real,fresh,false,,0,,false,false,2026-05-30T18:39:36.089069+00:00,,empirical.ssl_v2_evaluated; empirical.ssl_v2_implemented,The SSL-v2 analysis is scoped evidence only and does not alter broad SSL boundaries unless its stored deltas support that.,Hash/commit staleness checks passed.
fi2010_figures,fi2010_figures,reports/figures/fi2010_neural_full_grid,true,partial_real,fresh,false,17,,2,false,false,2026-05-29T16:04:54.020518+00:00,,,Figures summarise stored artefacts; they are stale if inputs changed.,Hash/commit staleness checks passed.
execution_v3_outputs,execution_v3,experiments/fi2010_execution_v3,true,archived_valid,archived,false,4800519,0,5,true,true,2026-05-29T16:01:54.219480+00:00,a72d46f0a1d7e0ccb62853eee6004375f7b5358c,empirical.confidence_filtering; general.execution_proxy_diagnostics,Offline proxy diagnostics only; not execution simulation or trading PnL.,"135 recorded input artefact(s) were intentionally removed (heavy raw predictions, checkpoints or ignored per-run details); retained summaries and manifests are consistent. Retained hashed files still match their recorded hashes. The generating commit also differs from the current repository commit."
execution_v3_analysis_report,execution_v3_analysis,reports/execution_v3_analysis,true,complete_real,fresh,false,6,,0,false,false,2026-05-30T01:17:59.022186+00:00,,general.execution_proxy_analysis,"Richer offline execution-aware proxy analysis over retained tables; not execution simulation, not live trading and not realised PnL.",Hash/commit staleness checks passed.
